date,open,high,low,close,adjClose,volume
2019-03-01,123.25,123.90,121.27,123.53,123.53,3024700
2019-02-28,118.85,122.37,118.33,121.69,121.69,4219200
2019-02-27,116.41,119.47,116.35,119.46,119.46,3262600
2019-02-26,117.10,118.96,116.25,116.92,116.92,2456800
2019-02-25,118.57,121.10,116.33,118.27,118.27,4416600
2019-02-22,114.10,116.61,113.63,116.55,116.55,3173000
2019-02-21,116.44,116.51,111.72,113.16,113.16,4667400
2019-02-20,113.00,119.25,112.75,116.30,116.30,8181100
2019-02-19,106.09,112.85,106.08,112.57,112.57,7687900
2019-02-15,106.20,107.66,104.25,106.85,106.85,5239300
2019-02-14,105.47,108.55,103.25,107.27,107.27,9540200
2019-02-13,114.19,116.89,105.60,106.87,106.87,19247600
2019-02-12,115.75,116.67,114.46,115.29,115.29,6914400
2019-02-11,118.50,119.00,113.71,115.75,115.75,6263700
2019-02-08,108.88,114.92,108.80,114.78,114.78,3163500
2019-02-07,111.50,111.54,108.26,110.12,110.12,3291300
2019-02-06,114.12,114.99,109.40,113.34,113.34,2603800
2019-02-05,113.82,116.54,113.01,113.89,113.89,3850700
2019-02-04,113.14,114.66,112.40,113.38,113.38,3008400
2019-02-01,111.31,113.50,110.26,112.88,112.88,4419100
2019-01-31,103.80,113.32,103.80,111.32,111.32,7323200
2019-01-30,101.08,104.03,99.79,103.82,103.82,2568000
2019-01-29,102.88,103.06,99.12,99.30,99.30,2295400
2019-01-28,102.90,103.33,99.90,102.16,102.16,2317100
2019-01-25,102.10,105.49,101.88,104.18,104.18,2606900
2019-01-24,100.41,102.43,100.24,101.55,101.55,2313500
2019-01-23,101.33,103.25,99.06,100.40,100.40,2954600
2019-01-22,104.02,104.05,98.39,99.52,99.52,3935400
2019-01-18,103.98,106.00,101.36,105.32,105.32,4084300
2019-01-17,100.11,104.12,99.23,102.11,102.11,4631600
2019-01-16,102.00,103.75,97.59,99.97,99.97,4707500
2019-01-15,98.52,101.82,97.36,100.45,100.45,3474100
2019-01-14,95.12,98.80,94.03,97.76,97.76,3685900
2019-01-11,96.00,101.70,95.64,96.83,96.83,6437300
2019-01-10,94.87,97.85,93.57,96.20,96.20,2227600
2019-01-09,97.50,98.06,94.75,96.41,96.41,2535500
2019-01-08,98.64,100.95,92.58,97.60,97.60,5503300
2019-01-07,91.31,99.40,91.25,96.98,96.98,8586000
2019-01-04,84.22,89.40,83.20,88.55,88.55,3718600
2019-01-03,85.06,86.48,80.13,81.25,81.25,4789300
2019-01-02,87.45,88.96,84.10,86.97,86.97,3818500
2018-12-31,87.08,91.10,86.37,89.30,89.30,4252700
2018-12-28,88.00,88.10,83.73,86.02,86.02,4093100
2018-12-27,83.83,87.91,81.15,87.38,87.38,4095500
2018-12-26,76.57,85.60,76.57,85.39,85.39,5374600
2018-12-24,74.00,77.57,73.15,75.59,75.59,1736900
2018-12-21,80.29,81.00,75.09,76.15,76.15,5181900
2018-12-20,84.49,86.65,76.02,80.48,80.48,7151900
2018-12-19,85.61,89.91,84.05,85.70,85.70,4200100
2018-12-18,89.24,89.82,82.79,85.29,85.29,5954900
2018-12-17,90.55,91.19,86.71,87.45,87.45,4565100
2018-12-14,93.73,95.03,90.70,91.62,91.62,5062800
2018-12-13,97.15,98.90,93.02,95.97,95.97,3779300
2018-12-12,94.49,100.47,93.66,96.67,96.67,7784300
2018-12-11,94.09,94.24,90.92,92.72,92.72,3182800
2018-12-10,88.26,92.25,87.72,91.84,91.84,3908800
2018-12-07,95.26,96.37,87.76,89.33,89.33,4400600
2018-12-06,87.25,96.45,85.68,96.19,96.19,6160800
2018-12-04,93.78,96.78,89.36,89.70,89.70,5551800
2018-12-03,97.32,97.55,92.59,95.62,95.62,5702400
2018-11-30,92.44,94.93,91.96,94.49,94.49,3985600
2018-11-29,90.60,93.54,90.36,92.48,92.48,4336400
2018-11-28,89.00,92.19,85.61,91.81,91.81,6637700
2018-11-27,86.24,87.20,84.50,86.52,86.52,4676700
2018-11-26,82.27,88.88,82.19,87.41,87.41,7072400
2018-11-23,75.50,81.41,75.06,80.62,80.62,2582700
2018-11-21,78.50,78.71,75.34,76.96,76.96,3926600
2018-11-20,71.61,78.64,71.56,75.89,75.89,5957900
2018-11-19,89.00,90.00,76.34,76.90,76.90,9198600
2018-11-16,87.98,90.43,87.01,89.17,89.17,3829300
2018-11-15,82.54,91.67,82.22,89.78,89.78,7371000
2018-11-14,86.73,87.45,82.60,83.96,83.96,4511300
2018-11-13,84.13,87.79,83.69,85.10,85.10,4623600
2018-11-12,91.66,92.08,81.78,83.34,83.34,9714800
2018-11-09,90.50,95.89,89.87,92.23,92.23,8338100
2018-11-08,94.65,98.89,91.66,91.95,91.95,9755100
2018-11-07,82.25,96.97,80.70,96.19,96.19,25260900
2018-11-06,72.47,74.57,69.96,71.02,71.02,5630200
2018-11-05,74.32,74.32,70.18,71.77,71.77,3426300
2018-11-02,76.49,77.95,73.32,74.32,74.32,2474100
2018-11-01,75.29,76.90,73.25,76.63,76.63,3073700
2018-10-31,72.37,76.15,71.67,75.22,75.22,4859700
2018-10-30,65.09,70.14,64.19,69.84,69.84,3887000
2018-10-29,67.38,68.71,64.60,65.98,65.98,3363900
2018-10-26,64.50,66.82,62.43,65.85,65.85,2865700
2018-10-25,64.50,67.75,64.33,67.35,67.35,3504000
2018-10-24,70.20,70.53,63.90,63.98,63.98,3188500
2018-10-23,66.99,70.00,66.76,69.68,69.68,2916500
2018-10-22,67.76,69.88,65.65,69.23,69.23,3481200
2018-10-19,72.61,73.71,66.33,66.41,66.41,4909000
2018-10-18,72.61,73.51,69.81,71.73,71.73,3997300
2018-10-17,76.02,76.58,71.32,74.01,74.01,5734700
